Topic,Problems,Percent,Incorrect
Angle Measurement Basics,21,90.5,2
"Angles, Parallel Lines, and Triangles",26,100,0
Isosceles and Equilateral Triangles,29,96.6,1
Length and Perimeter,25,96,1
Area Basics,22,100,0
Similar Triangles,35,97.1,1
The Pythagorean Theorem,33,97,1
Special Right Triangles,27,100,0
Bisectors in a Triangle,54,81.5,9
Triangle Medians and Altitudes,24,95.8,1
Quadrilaterals Level 1,31,93.6,2
Quadrilaterals Level 2,21,95.2,1
Polygon Angles,37,94.6,2
Polygon Length and Area,24,87.5,3
Inequalities in Triangles,24,91.7,2
Circle Area and Circumference,43,95.4,2
Funky Circle Areas,45,84.4,7
Angles in Circles,29,89.7,3
Lengths in Circles,17,94.1,1
Prisms,7,100,0
Pyramids,13,92.3,1
Cylinders,10,100,0
Cones,14,85.7,2
Spheres,7,100,0
Transformations,10,90,1
Analytic Geometry Level 1,8,100,0
Analytic Geometry Level 2,12,83.3,2
Right-Triangle Trigonometry,10,90,1
Unit Circle Trigonometry,8,100,0
